ace.bible.txt	are.bible.txt	ban.bible.txt	bci.bible.txt	blz.bible.txt	bru.bible.txt	btx.bible.txt	bvr.bible.txt	cab.bible.txt	cac.sansebastian.txt	caq.bible.txt	cat.evangelica.txt	ces.living.txt	cha.2003.txt	chf.bible.txt	chr.bible.txt	crn.bible.txt	cym.colloquial2013.txt	dan.hverdagsdansk.txt	deu.newworld.txt	deu.schlachter.txt	dgi.bible.txt	dgr.bible.txt	dts.bible.txt	dur.bible.txt	eng.common.txt	eng.goodnews.txt	esi.bible.txt	esu.bible.txt	etu.bible.txt	ffm.bible.txt	fin.1992.txt	gag.latin.txt	gle.bible.txt	gug.bible.txt	gvn.bible.txt	gwi.bible.txt	hop.bible.txt	hrv.2000.txt	hun.2003.txt	iba.bible.txt	ibo.bible.txt	inb.bible.txt	ind.firman.txt	isl.bible.txt	jpn.colloquial.txt	jra.bible.txt	kaa.latin.txt	khk.bible.txt	kki.bible.txt	kor.1985.txt	kqs.bible.txt	lem.bible.txt	mad.bible.txt	mak.bible.txt	mcb.bible.txt	mco.bible.txt	mhy.bible.txt	mto.bible.txt	myx.bible.txt	naq.bible.txt	nhg.bible.txt	nhw.bible.txt	nld.2007.txt	nya.bible.txt	pab.bible.txt	pah.bible.txt	pib.bible.txt	poi.bible.txt	prk.bible.txt	qub.bible.txt	quy.bible.txt	ron.2006.txt	run.bible.txt	sme.bible.txt	snf.bible.txt	spa.newworld.txt	srq.bible.txt	tac.bible.txt	tgl.1996.txt	thk.bible.txt	tuk.mukaddes.txt	tur.newworld.txt	uig.latin.txt	vie.bandich.txt	wol.bible.txt	yua.bible.txt	zho.contemp.txt	zho.new.txt	zos.bible.txt
11	peue -kon	iwunha -nga -la	napi awinan -e	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	cá san uágu	tas yuj	NA	per què	NA	håfa na	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	warum	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	nan	ko ɗum waɗi	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	meng- apa	hví	なぜ	yua hơgĕt	ne -ge	yuu -n -d	nhani	어찌 -하여사	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	tya -ra pi- kant -aig -ak -a -ra	nej co	wuah inun	tya̱jx -ts	lwa- shiina	tare -xa	tli -ca	quenque	waarom	chifukwa chiyani	xoana hoka	mara -name -hũ	klu china -nu 	t́iiga	pa tix	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	mbi n'ûntû	näme üçin	neden	neme uchun	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -cøtoya
12	peue sabab	iwunha -nga -la	napi awinan -e	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	ída	tas yuj	kūö yòh	com	jak	håfa	cuaxca uc'a	gado -no	a'i -ni een cɨn	pam	hvor -dan	wie	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen é- yími kən	ko saabii	kuinka	ne -çіn	cé an fáth	mba'e -icha rupi piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -pa -tak	meng- apa	hver -s vegna	なぜ	hyư̆m	ne -ge	yaa -g -aa -d	nhani	어찌 -하여사	le yɛɛ	a- nyí- aátɛ́	a- pon- apa	apa saba'na	tya -ra i- kant -ak -a -ra	na'amy	inun	tya̱jx	lwa- shiina	tare -xa -b	tli -ca	para tlen	waarom	chifukwa chiyani	xoana hoka	mara -name -hũ	klu china -nu	t́iiga	pa tix	ima -ni -r -taj	ima -na -sqa -má	de ce	iki- ki gitumye	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	kî	näme üçin	neden	qandaq	tại sao	l- u tax	bix	為 何	為 甚麼	ti -cøtoya
13	peue -kon	iwunha -nga -la	napi awinan -ipun	o yô se	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	ánsan	tas yuj	kūö yòh	com	proč	sa' put håfa na	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	warum	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -vlu -tau -vagut	ciin	jen é- yími kən	ko saabii	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	wanyu -rri -nku	jaghaii	hin -ta -qw	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -wan -tak	meng- apa	hví	なぜ	yua hơgĕt	ne -ge	yaa -g -aa -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	a- pon- apa	angng- apa	tya -ra i- kant -aig -ak -a -ra	na'amy	wuah inun	tya̱jx -ts	lwa- shiina	tare -xa	tli -ca	quenque	waarom	chifukwa chiyani	xoana hoka	mara -name	klu china -nu	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki gituma	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	kî n'ûntû	näme üçin	neden	neme -ix -qa 	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -cøtoya
14	peue	ngunha	napi -ke	wan	koi upa	ntrớu	kai	ngu- yinmiya	cá -ba -san	tas	yòh	qui	če -mu (co)	håfa na	cua '	gado -ge	a'i -ni	sut	hvor -dan	wer -em	wer -em	ãa	ayìı	aa	nɔ́n -ná	what	what	su -mun	ca -mun	jen	ko ɗum	mi -hin	kіm -a	cad	máva -re -pa	NA	jidii	hihta (himu)	ko -ime (tko)	ki -hez	baka ni	gini	ima -sa	apa yang	hvað	何	hơgĕt	kim -ge	yuu -tai	chi- o- ni	무엇 -에	nɛ̀ɛ́	aányɛ́	apa	apa	tata -rika -tyo	pɨn	inun	NA	shiina	tare -i	tli	quenicatza	wat	chiyani	xoare	mara	giru	t́i	pa tix	ima -wan -raj	pi -man -taq	cine	iki- ki	mii -a -inna	na- ɓa	quién	NA	chie -ti	saan	mbi	kim -e	kim -ler -e	kim -ler -ge	ai	l- an	ba'ax	什麼	甚麼	NA
15	soe	ngunha -ma	nyen -ke	wan	ime	noau	ise	jin- nga -y	cá	mach	a- chīö	qui	kdo (kdo)	håyi	caxca une	gago	a'a -taa -ni	pwy	hvem	wer	wer	ãa	amìı	aa -i	nóo	who	who	ki -su -uva	ki -n -ku -t	n- nyó- n	ho- mo	ke -ne kuka	kіm	cé	máva -iko	NA	juu dee	haki -ø	tko (tko)	ki	s- apa	ònye 	pi -tal	si- apa -kah	hver	だれ	hlơi	kim	hen	no- nani	누구 -냐	nɛ̀ɛ́	aányɛ́	s- apa	inai -ka	tya -ni -mpa -tyo -ra	pɨn	hie	pa̱n -ts	mu- rye ena	mâ -sa	öque -ne	ajqueya	wie	ndani	xala -tya	mara -ve'ga	katu -ni	i̱	mawx	pi -taj	pi -taq	cine	nde	gii	y- iida	quién	aba	chie -ri	s- ino	ûû	kim	kim	kim	ai	k- an	máax	誰	誰	i
16	soe	ngunha	nyen -ke	wan	ime	noau	ise	a- burr- nga -y	cá	mach	NA	qui	NA	håyi	caxca une	gago	NA	pwy	NA	wer	wer	NA	amìı	aa be -i	nóo	who	who	ki -su -uva -t	ki -n -ku -nek -llu	NA	ho- ɓe	ke -t -kä	kіm	cé	máva	NA	NA	haki -mu	tko (tko)	ki -k	s- apa	òle 	pi -kuna -tak	si- apa -kah	hver -jir	だれ	hlơi	kim -ler	hen	NA	NA	nɛ̀ɛ́ -aa	bá- aányɛ́ 	s- apa	inai -ka	tya -ni -mpa -tyo -ra	NA	hie	pa̱n -ts	naanu	mâ -na	öque -me -ju	ajqueya	wie	-a- yani	xala -tya	mara -ve'ga	katu -ni	i̱	mawx	pi -cuna -taj	pi -taq	cine	ba nde	gii -ea -t	ɓ- iida	quién -es	aba	chie -ri	sinu- s- ino	NA	NA	kim	kim	ai	ñ- an	máax	誰	誰	i
17	peue -kon	iwunha -nga -ma	napi awinan -ipun	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	cá san uágu	tas -m yuj	kūö yòh	per què	proč	håfa na	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	warum	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen	ko ɗum waɗi	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -pa -tak	meng- apa	hver -s vegna	なぜ	hyư̆m	ne ushın	yaa -g -aa -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	a- pon- apa	angng- apa	tya -ra o- kant -ak -a -ra	na'amy	wuah inun	tya̱jx -s -e'e	ba- naanu	tare -xa -ts	tli -ca	para tlen	waarom	chifukwa chiyani	xoana hoka	mara -name	klu china -nu	t́iiga	pa tix	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
18	peue -kriban	nthakinha -nta -ma	napi awinan -ipun	nin fan	koi upa	léq	i ja nari	gu- gaya wenga	ja -lía -gi -ñe -san	'aj -m	yih	com	kde	man- ginen månu	cua ' uc'a	gado	a'u -ni	o ble	hvor -dan	wo -her	wo -her	nyɩn 	dànì -ghǫ	yago	tɛ́ -lá	how	where	qanuq -łutiŋ	na -ken -mi	fan	ho- to	mi -stä 	nere -dan	cad	mba'e -icha piko	wanja -mun	nats'ahts'ą'	haqam	odakle	hogy -n	nama kebuah	òle ebe	mai -manda -sik	NA	hvað -an	どう -して	hyư̆m	qay -aq -tan	haa -na -as	hoki	어디 -서	kuɛɛ	háányɛ́	kadi pon- apa	antekamma	tya -ra -tyo	nej co	kala awe	joma	shiina	mapa	de cöne	quenque	NA	ku- ti	aliyakere	ma'g̃a	ginaka	jutsa̱p	tix	may -pita -raj	may -manta -má	de unde	he he	gos	na	cómo	mbae -rã	ko- che -ka	bakit	kû	nire -den	nasıl	ne -din	đâu	f- u	tu'ux	哪 裡	哪 裡	jutznøm
19	di- pat	nthakinha -la	d- ija -ya	nin	m- aana	léq	i ja nari	yina gaya wenga	ja -lía -san	'aj -m	yih	de on	kde	a- månu	cada	gado	a'u -qui	ble	hvor fra	wo -her	wo -her	nyɩn 	dànı -t'à	yago	tɛ́ -lá	where	where	su -miñ	na -ken -mi	fan	ho- to	mi -stä 	nere -dan	cá	moõ -gui piko	wanya -nda -mun	nijin	haqam -qw	odakle	hogy -n	di- ni	òle ebe	ima -wa -sik	NA	hvað -an	ど -こ	mơ̆ng pă	qay -aq -tan	haa -na -as	hoki	어디 -서	kuɛɛ	háányɛ́	dhari dh- imma	kemae -i	tya -rika -tyo	ma	teka awe	joma -s	wahe ena	mapa	de cöne	ajqueya	NA	ku- ti	aliyo -ta -la	ma'g̃a	ginaka	ju̱t́	dee mawx	imano -pa -raj	imayna -npi	de unde	he he	gos	gada	dónde	mangu -e	ko- che	saan	kû	nire -den	nere -den	ne -din	đâu	f- u	tu'ux	哪 裡	哪 裡	jut
20	di- pat	nthakinha -nta -ma	d- ija -ya	o yô se	m- aana	nṓq	NA	gu- gaya wenga	ja -lía -gi -ñe -ti	tas	yih	de on	odkud	ginen månu nai	cada	gado -no	a'u -ni	ble	hvem	wo -her	wo -her	nyɩn 	dànì -ghǫ	NA	tɛ́ -lá	where	where	su -miñ	na -ken -mi	fan	ho- to	mi -stä 	nere -dan	cá	moõ -gui piko	wanya -nda -mun	nijin	haqam -qw	odakle	hogy -n	di- ni	òle ebe	mai -pi -sik	bagai- mana	hvað -an	ど -こ	mơ̆ng pă	qay -aq -tan	haa -na -as	hoki	어디 -서	kuɛɛ	aányɛ́	dhari dh- imma	kemae	tya -rika -tyo	ma	teka awe	joma -ts	NA	mapa	de cöne	canque	wat	ku- ti	aliyo -ta -la	mara -name	ginaka	ju̱t́	dee mawx	may -chö -taj	imayna -npi -má	de unde	he he	gos	gada	dónde	mañɨ	ko- che	saan	kû	nire -den	nere -den	ne -din	đâu	f- u	tu'ux	哪 裡	哪 裡	jut
21	peue -kon	iwunha -nga -la	apa krana	nzu ti	no- ngko'- upa	nṓq	ng- kai	an- nga nula	cá uágu	'aj -m	kūö yòh	per què	proč	håfa na	cua ' uc'a	gado -hi	a'i -ni een cɨn	pam	hvor -for	warum	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen é- yími kən	ko saabii	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	NA	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -pa -tak	meng- apa	hví	なぜ	yua hơgĕt	ne -ge	yuu -n -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	ar- apa	apa saba'na	antari gara	nej co	wuah inun	tya̱jx -s -e'e	e- ena	tare -xa -ts	tli -ca	para tlen	waarom	u- -a- kayiki- ra- nji	xoana -re hoka	gara -mo	klu china -nu	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki	manne	tah haa ya	por qué	mbae -rã	NA	bakit	kî	näme üçin	neden	neme -ix -qa 	sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -cøtoya
22	peue -kon	iwunha -nga -la	napi awinan -ipun	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	ánsan	tas yuj	kūö yòh	per què	proč	håfa	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	wie	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen	ko ɗum waɗi	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -pa -tak	meng- apa	hver -s vegna	なぜ	yua hơgĕt	ne ushın	yuu -n -d	nhani	왜	le kɔlɔ yɛɛ	a- nyí- aátɛ́	a- pon- apa	apa saba'na	tya -ra i- kant -aig -ak -a -ra	na'amy	wuah inun	tya̱jx	lwa- shiina	tare -xa	tli -ca	quenque	waarom	chifukwa chiyani	xoana hoka	mara -name -hũ	klu china -nu	t́iiga	pa tix	ima -ni -r -taj	ima -na -sqa -taq	de ce	kuki	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	kî n'ûntû	näme üçin	neden	neme -ix -qa 	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
23	peue -kon	iwunha -nga -la	napi awinan	nzu ti	no- ngko'- upa	nṓq	ng- kai	an- nga nula	ánti	tas yuj	kūö yòh	per què	proč	håfa na	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	wie	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -ma -lli -vsauq	ciin	jen é- yími kən	ko ɗum waɗi	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	NA	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -pa -tak	meng- apa	hver -s vegna	なぜ	yua hơgĕt	ne ushın	yaa -g -aa -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	tya -ra pi- kant -aig -ak -a -ra	na'amy	wuah inun	tya̱jx -ts	lwa- shiina	tare -xa	tli -ca	quenque	waarom	mu- lumphi- ra- nji	xoana atyo hoka	mara -name -hũ	klu china -nu	t́iiga	pa tix	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki catumye	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	kî n'ûntû	näme üçin	neden	neme -ix -qa 	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
