ace-bible.txt	are-bible.txt	ban-bible.txt	bci-bible.txt	blz-bible.txt	bru-bible.txt	btx-bible.txt	bvr-bible.txt	cab-bible.txt	cac-sansebastian.txt	caq-bible.txt	cat-evangelica.txt	ces-living.txt	cha-2003.txt	chf-bible.txt	chr-bible.txt	crn-bible.txt	cym-colloquial2013.txt	dan-hverdagsdansk.txt	deu-newworld.txt	deu-schlachter.txt	dgi-bible.txt	dgr-bible.txt	dts-bible.txt	dur-bible.txt	eng-common.txt	eng-goodnews.txt	esi-bible.txt	esu-bible.txt	etu-bible.txt	ffm-bible.txt	fin-1992.txt	gag-latin.txt	gle-bible.txt	gug-bible.txt	gvn-bible.txt	gwi-bible.txt	hop-bible.txt	hrv-2000.txt	hun-2003.txt	iba-bible.txt	ibo-bible.txt	inb-bible.txt	ind-firman.txt	isl-bible.txt	jpn-colloquial.txt	jra-bible.txt	kaa-latin.txt	khk-bible.txt	kki-bible.txt	kor-1985.txt	kqs-bible.txt	lem-bible.txt	mad-bible.txt	mak-bible.txt	mcb-bible.txt	mco-bible.txt	mhy-bible.txt	mto-bible.txt	myx-bible.txt	naq-bible.txt	nhg-bible.txt	nhw-bible.txt	nld-2007.txt	nya-bible.txt	pab-bible.txt	pah-bible.txt	pib-bible.txt	poi-bible.txt	prk-bible.txt	qub-bible.txt	quy-bible.txt	ron-2006.txt	run-bible.txt	sme-bible.txt	snf-bible.txt	spa-newworld.txt	srq-bible.txt	tac-bible.txt	tgl-1996.txt	thk-bible.txt	tuk-mukaddes.txt	tur-newworld.txt	uig-latin.txt	vie-bandich.txt	wol-bible.txt	yua-bible.txt	zho-contemp.txt	zho-new.txt	zos-bible.txt
40009004	pakon	iwunhangala	napi awinane	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	cásan uágu	tas yuj	NA	per què	NA	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	nan	koɗum waɗi	miksi	neçіn	cén fáth	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hví	なぜ	yua hơgĕt	nege	yuund	nhani	어째서	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara pikantaigakara	nej co	wuah inun	tya̱jxts	lwashiina	tarexa	tlica	quenque	waarom	chifukwa chiyani	xoana hoka	maranameuhũ	klu chinau	t́iiga	pa tix	imanirtaj	imanasqataq	de ce	igiki	manne	tah ya	por qué	mbaerã	chonigá	bakit	mbi n'ûntû	näme üçin	neden	neme uchun	tại sao	lu tax	ba'ax ten	為什麼	為甚麼	ticøtoya
40009011	peue sabab	iwunhangala	napi awinane	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ída	tas yuj	kūöyòh	com	jak	håfa	cuaxca uc'a	gadono	a'ini een cɨn	pam	hvordan	wie	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen é yími kən	ko saabii	kuinka	neçіn	cén fáth	mba'éicha rupi piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	n'ìhi gini	imapatak	mengapa	hvers vegna	なぜ	hyư̆m	nege	yaagaad	nhani	어째서	le yɛɛ	anyíatɛ́	aponapa	apa saba'na	tyara ikantakara	na'amy	inun	tya̱jx	lwashiina	tarexab	tlica	para tlen	waarom	chifukwa chiyani	xoana hoka	maranameuhũ	klu chinanu	t́iiga	pa tix	imanirtaj	imanasqamá	de ce	igiki gitumye	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî	näme üçin	neden	qandaq	tại sao	lu tax	bix	為何	為甚麼	ticøtoya
40009014	pakon	iwunhangala	napi awinanipun	o yô se	nongko'upa	nṓq	engkai	an-nga nula	ánsan	tas yuj	kūöyòh	com	proč	sa' put håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	suvlu‌tauvagut	ciin	jen é yími kən	ko saabii	miksi	neçіn	cén fáth	mba'ére piko	wanyurrinku	jaghaii	hintaqw	zašto	miért	nama kebuah	n'ìhi gini	imawantak	mengapa	hví	なぜ	yua hơgĕt	nege	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	aponapa	angngapa	tyara ikantaigakara	na'amy	wuah inun	tya̱jxts	lwashiina	tarexa	tlica	quenque	waarom	chifukwa chiyani	xoana hoka	maraname	klu chinanu	t́iiga	yuh ka mawx	imanirtaj	imanasqataq	de ce	igiki gituma	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	nemixqa	tại sao	lu tax	ba'ax ten	為什麼	為甚麼	ticøtoya
40011016	peue	ngunha	napike	wan	koi upa	ntrớu	kai	ngu-yinmiya	cábasan	tas	yòh	qui	čemu	håfa na	cua'	gadoge	a'ini	sut	hvordan	wem	wem	ãa	ayìı	aa	nɔ́nná	what	what	sumun	camun	jen	koɗum	mihin	kіmä	cad	mávarepa	wanju	jidii	hihta	kime	kihez	baka ni	gini	imasa	apa yang	hvað	何	hơgĕt	kimge	yuutai	choni	무엇에	nɛ̀ɛ̀	aányɛ́	apa	apa	tatarikatyo	pɨn	inun	NA	shiina	tare-i	tli	quenicatza	wat	chiyani	xoare	marã	giru	t́i	pa tix	imawanraj	pimantaq	cine	igiki	mainna	naɓa	quién	NA	chieti	saan	mbi	kime	kimlere	kimlerge	ai	lan	ba'ax	什麼	甚麼	NA
40012048a	soe	ngunhama	nyenke	wan	ime	noau	ise	jin-ngay	ca	mach	achīö	qui	kdo	håyi	caxca une	gago	a'ataani	pwy	hvem	wer	wer	ãa	amìı	aai	nóo	who	who	kisuuva	kinkut	nnyón	homo	kuka	kіm	cé	mávaiko	wanju	juu dee	hak	tko	ki	sapa	ònye	pital	siapakah	hver	だれ	hlơi	kim	hen	nonani	누구냐	nɛ̀ɛ́	aányɛ́	sapa	inaika	tyanimpatyora	pɨn	hie	pa̱nts	muryeena	mâsa	öquene	ajqueya	wie	ndani	xalatya	marãve'g̃a	katni	i̱	mawx	pitaj	pitaq	cine	nde	gii	yiida	quién	aba	chieri	sino	ûû	kim	kim	kim	ai	kan	máax	誰	誰	i
40012048b	soe	ngunha	nyenke	wan	ime	noau	ise	aburr-ngay	ca	mach	NA	qui	NA	håyi	caxca une	gago	NA	pwy	NA	wer	wer	NA	amìı	aabei	nóo	who	who	kisuuvat	kinkunek-llu	NA	hoɓe	ketkä	kіm	cé	máva	wanju	NA	hakim	tko	kik	sapa	òle	pikunatak	siapakah	hverjir	だれ	hlơi	kimler	hen	NA	NA	nɛ̀ɛ̀aa	báányɛ́	sapa	inaika	tyanimpatyora	NA	hie	pa̱nts	naanu	mâna	öquemeju	ajqueya	wie	ayani	xalatya	marãve'g̃a	katni	i̱	mawx	picunataj	pitaq	cine	ba nde	geat	ɓiida	quiénes	aba	chieri	sinu-sino	NA	NA	kim	kim	ai	ñan	máax	誰	誰	i
40013010	pakon	iwunhangama	napi awinanipun	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	cásan uágu	tasm yuj	kūöyòh	per què	proč	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen	koɗum waɗi	miksi	neçіn	cén fáth	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	n'ìhi gini	imapatak	mengapa	hvers vegna	なぜ	hyư̆m	ne ushın	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	aponapa	angngapa	tyara okantakara	na'amy	wuah inun	tya̱jxse'e	banaanu	tarexats	tlica	para tlen	waarom	chifukwa chiyani	xoana hoka	maraname	klu chinanu	t́iiga	patix	imanirtaj	imanasqataq	de ce	igiki	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	sao	lu tax	ba'ax ten	為什麼	為甚麼	ti'ajcuy
40013027	pakriban	nthakinhantama	napi awinanipun	nin fan	koi upa	léq	i ja nari	gu-gaya wenga	jalíagiñésan	'ajm	yih	com	kde	mangginen manu	cua' uc'a	gado	a'uni	o ble	hvordan	woher	woher	nyɩnɛ	dànìghǫ	yago	tɛ́lá	how	where	qanuqłutiŋ	naken-mi	fan	hoto	mistä	neredän	cad	mba'éicha piko	wanjamun	nats'ahts'ą'	haqam	odakle	honnan	nama kebuah	òle ebe	maimandasik	NA	hvaðan	どうして	hyư̆m	qayaqtan	haanaas	hoki	어디서	kuɛɛ	háányɛ́	kadi ponapa	antekamma	tyaratyo	nej co	kalaawe	joma	shiina	mapa	de cöne	quenque	NA	kuti	aliyakere	ma'g̃a	ginaka	jutsa̱	tix	maypitaraj	maymantamá	de unde	hehe	gos	na	cómo	mbaerã	kócheka	bakit	kû	nireden	nasıl	nedin	đâu	fu	tu'ux	哪裡	哪裡	jutznøm
40013054a	dipat	nthakinhala	dijaya	nin	maana	léq	i ja nari	yina gaya wenga	jalíasan	'ajm	yih	d'on	kde	amånu	cada	gado	a'uqui	ble	hvor fra	woher	woher	nyɩnɛ	dànıt'à	yago	tɛ́lá	where	where	sumiñ	naken-mi	fan	hoto	mistä	neredän	cá	moõgui piko	wanyandamun	nijin	haqaqw	odakle	honnan	dini	òle ebe	imawasik	NA	hvaðan	どこ	mơ̆ng pă	qayaqtan	haanaas	hoki	어디서	kuɛɛ	háányɛ́	dhari dhimma	kemaei	tyarikatyo	ma	teka awe	jomas	waheena	mapa	de cöne	ajqueya	NA	kuti	aliyotala	ma'g̃a	ginaka	ju̱t́	dee mawx	imanöparaj	imaynanpi	de unde	hehe	gos	gada	dónde	mangue	koche	saan	kû	nireden	nereden	nedin	đâu	fu	tu'ux	哪裡	哪裡	jut
40013056	dipat	nthakinhantama	dijaya	o yô se	maana	nṓq	NA	gu-gaya wenga	jalíagiñeti	tas	yih	d'on	odkud	ginen manu nai	cada	gadono	a'uni	ble	hvem	woher	woher	nyɩnɛ	dànìghǫ	NA	tɛ́lá	where	where	sumiñ	naken-mi	fan	hoto	mistä	neredän	cá	moõgui piko	wanyandamun	nijin	haqaqw	odakle	honnan	dini	òle ebe	maipisik	bagaimana	hvaðan	どこ	mơ̆ng pă	qayaqtan	haanaas	hoki	어디서	kuɛɛ	aányɛ́	dhari dhimma	kemae	tyarikatyo	ma	teka awe	jómats	NA	mapa	de cöne	canque	wat	kuti	aliyotala	maraname	ginaka	ju̱t́	dee mawx	maychötaj	imaynanpimá	de unde	hehe	gos	gada	dónde	mañɨ	koche	saan	kû	nireden	nereden	nedin	đâu	fu	tu'ux	哪裡	哪裡	jut
40014031	pakon	iwunhangala	apa krana	nzu ti	nongko'upa	nṓq	ngkai	an-nga nula	ca uágu	'ajm	kūö yòh	per què	proč	håfa na	cua' uc'a	gadohi	a'ini een cɨn	pam	hvorfor	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen é yími kən	ko saabii	miksi	neçіn	cén fáth	mba'ére piko	NA	jaghaii	hinoqw	zašto	miért	nama kebuah	n'ìhi gini	imapatak	mengapa	hví	なぜ	yua hơgĕt	nege	yuund	nhani	왜	le yɛɛ	anyíatɛ́	arapa	apa saba'na	antari gara	nej co	wuah inun	tya̱jxse'e	eena	tarexats	tlica	para tlen	waarom	wakayikiranji	xoanere hoka	garamo	klu chinanu	t́iiga	yuh ka mawx	imanirtaj	imanasqataq	de ce	igiki	manne	tahhaa ya	por qué	mbaerã	NA	bakit	kî	näme üçin	neden	nemixqa	sao	lu tax	ba'ax ten	為什麼	為甚麼	ticøtoya
40015002	pakon	iwunhangala	napi awinanipun	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ánsan	tas yuj	kūö yòh	per què	proč	håfa	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	wie	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen	koɗum waɗi	miksi	neçіn	cén fáth	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	n'ìhi gini	imapatak	mengapa	hvers vegna	なぜ	yua hơgĕt	ne ushın	yuund	nhani	왜	le kɔlɔ yɛɛ	anyíatɛ́	aponapa	apa saba'na	tyara ikantaigakara	na'amy	wuah inun	tya̱jx	lwashiina	tarexa	tlica	quenque	waarom	chifukwa chiyani	xoana hoka	maranameuhũ	klu chinanu	t́iiga	patix	imanirtaj	imanasqataq	de ce	kuki	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	nemixqa	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
40015003	pakon	iwunhangala	napi awinan	nzu ti	nongko'upa	nṓq	ngkai	an-nga nula	ánti	tas yuj	kūö yòh	per què	proč	håfa na	cua' uc'a	gadono	a'ini een cɨn	pham	hvorfor	wie	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summallivsauq	ciin	jen é yími kən	koɗum waɗi	miksi	neçіn	cén fáth	mba'ére piko	NA	jaghaii	hinoqw	zašto	miért	nama kebuah	n'ìhi gini	imapatak	mengapa	hvers vegna	なぜ	yua hơgĕt	ne ushın	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara pikantaigakara	na'amy	wuah inun	tya̱jxts	lwashiina	tarexa	tlica	quenque	waarom	mulumphiranji	xoana atyo hoka	maranameuhũ	klu chinanu	t́iiga	patix	imanirtaj	imanasqataq	de ce	igiki catumye	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	nemixqa	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
40015033	dipat	nthanhangantama	sapunapi	se	koi upa	nṓq	i ja	yina gaya	ída	tas yuj	isuh	d'on	kde	månu nai	cada	harvno	a'uni	ble	NA	woher	woher	nyɩnɛ	dànì	yago	téé	where	where	sumiñ	naken-mi	fan	hoto	mistä	neredän	cá	mba'éicha piko	wanjamun	nijin	haqam	odakle	honnan	dini	òle ebe	maipitak	dari mana	hvar	どこ	pơpă	qayaqtan	haanaas	hoki	어디서	kuɛɛ	háányɛ́	ka'dhimma	kemaeki'	tyara	ma	hang awe	jómase'e	lwashiina	mapa	quiene	canque	waar vandaan	kuti	aliyakereya	ma	ginaka	ju̱t́	dee mawx	maychöraj	maypitaq	de unde	hehe	gos	gada	dónde	mañɨ	churigá	saan	kû	nireden	nereden	nedin	đâu	fu	tu'ux	哪裡	哪裡	jut
40015034	padub	nthakintjama	akuda	nnye	pipii	sếq	piga	mu-yinmiyapa	átiriñoun	tas	am	quants	kolik	kuånto	jäyp'e	ilago	a'achuni pua'amuaca	sawl	hvor mange	wie viele	wie viele	a ŋmɩn	dàtłǫ	aŋa	nɛ́nná	how much	how much	qavsiñik	qavcinek	é bhík	hono foti	montako	kaç	cé mhéad	mboy	wanjarr	daanchy'aa	hihsa’haqam	koliko	hány	berapa	ole	maituku	berapa	hve mörg	いくつ	hơdôm	neshe	heden	mingahe	얼마나	vɛ̀ɛ̀	bínyie	barampa	siapa	akatovainivati	naag	pire	vinxu̱p	eena	matikō	quiejquech	quesqui	hoeveel	ingati	xoanama	maramomi	gi pejnu	jute̱n	miex	ayca	haykataq	câte	ingahe	galle	cera	cuántos	manya	chekí	ilan	îgana	näçe	kaç	qanche	bao nhiêu	ñaata	jay p'éel	多少	多少	jujche
40016008	keupeue	iwunhangala	apa krana	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ca uágu	jaye	kūö yòh	per què	proč	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	warum	was	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	nan	ko waɗi	NA	neçіn	cén fáth	mba'ére piko	wanyurrinku	jaghaii	hinoqw	što	miért	nama kebuah	gini	imapatak	mengapa	hvað	なぜ	yua hơgĕt	nege	yuund	nhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara okantakara	na'amy	wuah inun	tya̱jxse'e	kyeenga	tarexa	tlica	para tlen	waarom	chifukwa chiyani	xoana hoka	maraname	klu chinanu	t́iiga	pa tix	imanirtaj	imanasqataq	de ce	igiki gitumye	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	nämä	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
40016011	pakon	NA	apa krana	o yô se	nongko'upa	nṓq	kuga	NA	ída	tas yuj	sitih	com	NA	sa' håfa na	NA	gado	a'ini	NA	hvordan	wie	warum	ŋmɩŋmɩn	dànìghǫ	inge dɛi	moo ȩn	NA	how	qanuq	qaillun	jen	hono waɗi	kuinka	nesoy	cén fáth	NA	wanyurrinku	nats'ahts'ą'	hinoqw	kako	hogyan	nama kebuah	aṅa	imapatak	bagaimana	hvernig	どうして	yua hơgĕt	nege	yaagaad	yanhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara okantaka	nej co	wuah inun	vintso̱se'e	byeenga	mati	quiene	quenicatza	waarom	bwanji	NA	maraname	gi	t́iiga	patix	imanirtaj	imanasqamá	cum	igiki	manne	na	cómo	NA	'lacha	NA	kî	nädip	nasıl	nemixqa	tại sao	lu tax	ba'axten	怎麼	為甚麼	ti'ajcuy
