verse	label	cluster	neighbor	sil_width	QW	context
43021020	person.role.agent	2	3	0.599390204812451	who	Peter turned around and saw the disciple whom Jesus loved following them . This was the one who had leaned against Jesus at the meal and asked him , " Lord , who is going to betray you ? "
43006060	person.role.agent	2	3	0.597998712235188	who	Many of his disciples who heard this said , " This message is harsh . Who can hear it ? "
45008034	NA	2	3	0.596669719420801	who	Who is going to convict them ? It is Christ Jesus who died , even more , who was raised , and who also is at God’s right side . It is Christ Jesus who also pleads our case for us .
42018026	NA	2	5	0.594935118851449	who	Those who heard this said , " Then who can be saved ? "
48003001	person.role.agent	2	3	0.593549865810623	who	You irrational Galatians ! Who put a spell on you ? Jesus Christ was put on display as crucified before your eyes !
43005012	person.role.agent	2	1	0.592974098111321	who	They inquired , " Who is this man who said to you , ‘ Pick it up and walk ’ ? "
41016003	person.role.agent	2	3	0.591767673470507	who	They were saying to each other , " Who’s going to roll the stone away from the entrance for us ? "
42010029	NA	2	3	0.591302410775578	who	But the legal expert wanted to prove that he was right , so he said to Jesus , " And who is my neighbor ? "
66015004a	NA	2	3	0.590198282446989	who	Who won’t fear you , Lord , 
40018001	NA	2	3	0.583149216563947	who	At that time the disciples came to Jesus and asked , " Who is the greatest in the kingdom of heaven ? "
62002022	NA	2	3	0.578014577726371	who	Who is the liar ? Isn’t it the person who denies that Jesus is the Christ ? This person is the antichrist : the one who denies the Father and the Son .
40019025	NA	2	3	0.577538238407834	who	When his disciples heard this , they were stunned . " Then who can be saved ? " they asked .
41005031	person.role.agent	2	4	0.577495105635249	who	His disciples said to him , " Don’t you see the crowd pressing against you ? Yet you ask , ‘ Who touched me ? ’ "
47002002	person.role.agent	2	5	0.577137389071157	who	If I make you sad , who will be there to make me glad when you are sad because of me ?
48005007a	person.role.agent	2	4	0.574632696570651	who	You were running well — who stopped you from obeying the truth ?
42016012	NA	2	5	0.573977254642364	who	If you haven’t been faithful with someone else’s property , who will give you your own ?
62005005	NA	2	3	0.568857976274868	who	Who defeats the world ? Isn’t it the one who believes that Jesus is God’s Son ?
43012034b	NA	2	3	0.566194060511171	who	Who is this Human One ? "
41010026	NA	2	3	0.565537826957568	who	They were shocked even more and said to each other , " Then who can be saved ? "
43009036	NA	2	3	0.562709962455077	who	He answered , " Who is he , sir ? I want to believe in him . "
60003013	NA	2	3	0.562310813466805	who	Who will harm you if you are zealous for good ?
66006017	NA	2	5	0.561215011736485	who	The great day of their wrath has come , and who is able to stand ? "
40021010	person.identity.3sg	2	3	0.557185010800722	who	And when Jesus entered Jerusalem , the whole city was stirred up . " Who is this ? " they asked .
42009009a	person.identity.3sg	2	1	0.551749014739097	who	Herod said , " I beheaded John , so now who am I hearing about ? " Herod wanted to see him .
40012048a	NA	2	3	0.5499718851252	who	Jesus replied , " Who is my mother ? 
43013025	NA	2	3	0.542502398550486	who	Leaning back toward Jesus , this disciple asked , " Lord , who is it ? "
42016011	person.role.agent	2	5	0.532413669972661	who	If you haven’t been faithful with worldly wealth , who will trust you with true riches ?
43021012	person.identity.2sg	2	3	0.526381516344319	who	Jesus said to them , " Come and have breakfast . " None of the disciples could bring themselves to ask him , " Who are you ? " They knew it was the Lord .
42007049	person.identity.3sg	2	3	0.526221335618626	who	The other table guests began to say among themselves , " Who is this person that even forgives sins ? "
43001022a	person.identity.2sg	2	3	0.518125506472184	who	They asked , " Who are you ? We need to give an answer to those who sent us . 
46004007a	person.role.agent	2	3	0.513992669770541	who	Who says that you are better than anyone else ? 
43008025a	person.identity.2sg	2	3	0.50987454819495	who	" Who are you ? " they asked . 
44021033a	NA	2	3	0.508658348073204	who	When the commander arrived , he arrested Paul and ordered him to be bound with two chains . Only then did he begin to ask who Paul was 
42005021a	person.identity.3sg	2	3	0.505660721579916	who	The legal experts and Pharisees began to mutter among themselves , " Who is this who insults God ? 
44022008	person.identity.2sg	2	3	0.504980070487719	who	I answered , ‘ Who are you , Lord ? ’ ‘ I am Jesus the Nazarene , whom you are harassing , ’ he replied .
45008035	NA	2	3	0.48783818082188	who	Who will separate us from Christ’s love ? Will we be separated by trouble , or distress , or harassment , or famine , or nakedness , or danger , or sword ?
42012025	NA	2	3	0.477486351320976	who	Who among you by worrying can add a single moment to your life ?
43008046a	NA	2	3	0.465946171696282	who	Who among you can show I’m guilty of sin ? 
40024045	NA	2	3	0.465402007460353	who	“ Who then are the faithful and wise servants whom their master puts in charge of giving food at the right time to those who live in his house ?
43018004	person.role.patient	2	3	0.46439073706851	who	Jesus knew everything that was to happen to him , so he went out and asked , " Who are you looking for ? "
43020015b	person.role.patient	2	4	0.456860351185884	who	Who are you looking for ? " Thinking he was the gardener , she replied , " Sir , if you have carried him away , tell me where you have put him and I will get him . "
40016013	person.ascription	2	3	0.452891239921425	who	Now when Jesus came to the area of Caesarea Philippi , he asked his disciples , " Who do people say the Human One is ? "
44008034	NA	2	3	0.440810872869351	whom	The eunuch asked Philip , " Tell me , about whom does the prophet say this ? Is he talking about himself or someone else ? "
40012048b	person.identity.pl	2	3	0.438288178145934	who	Who are my brothers ? "
41008029b	person.ascription	2	3	0.436204932604362	who	Who do you say that I am ? " Peter answered , " You are the Christ . "
42009018	person.ascription	2	3	0.431982258607346	who	Once when Jesus was praying by himself , the disciples joined him , and he asked them , " Who do the crowds say that I am ? "
42012020	NA	2	3	0.431137518608203	who	But God said to him , ‘ Fool , tonight you will die . Now who will get the things you have prepared for yourself ? ’
59004012	person.identity.2sg	2	3	0.430861740067729	who	There is only one lawgiver and judge , and he is able to save and to destroy . But you who judge your neighbor , who are you ?
42022027	person.selection.two	2	3	0.409083224940027	which one	So which one is greater , the one who is seated at the table or the one who serves at the table ? Isn’t it the one who is seated at the table ? But I am among you as one who serves .
66007013a	person.identity.pl	2	3	0.406028613178345	who	Then one of the elders said to me , " Who are these people wearing white robes , 
42008025b	NA	2	3	0.393982354266675	who	" Who is this ? He commands even the winds and the water , and they obey him ! "
43006068	person.role.goal	2	1	0.388121807722929	where	Simon Peter answered , " Lord , where would we go ? You have the words of eternal life .
43012038b	person.role.goal	2	3	0.38809638540997	whom	To whom is the arm of the Lord fully revealed ?
44019015	person.identity.pl	2	5	0.384406614368244	who	The evil spirit replied , " I know Jesus and I’m familiar with Paul , but who are you ? "
44011017a	NA	2	5	0.373214241421946	who	If God gave them the same gift he gave us who believed in the Lord Jesus Christ , then who am I ? 
43008053	person.identity.2sg	2	3	0.372092058325214	who	Are you greater than our father Abraham ? He died and the prophets died , so who do you make yourself out to be ? "
40027017	NA	2	3	0.369731333107108	whom	When the crowd had come together , Pilate asked them , " Whom would you like me to release to you , Jesus Barabbas or Jesus who is called Christ ? "
42020024a	person.possessor	2	3	0.358235922103273	whose	" Show me a coin . Whose image 
40022020a	person.possessor	2	3	0.346843582284014	whose	" Whose image 
58003016	NA	2	3	0.339787232999248	who	Who was it who rebelled when they heard his voice ? Wasn’t it all of those who were brought out of Egypt by Moses ?
40022042b	person.possessor	2	3	0.335278079106084	whose	Whose son is he ? " " David’s son , " they replied .
42011019	person.possessor	2	5	0.328666457360876	whose	If I throw out demons by the authority of Beelzebul , then by whose authority do your followers throw them out ? Therefore , they will be your judges .
43001021	person.identity.2sg	2	3	0.323795652621811	who	They asked him , " Then who are you ? Are you Elijah ? " John said , " I’m not . " " Are you the prophet ? " John answered , " No . "
42010036b	person.selection.multiple	2	1	0.321709958820638	which one	Which one of these three was a neighbor to the man who encountered thieves ? "
40017025b	NA	2	3	0.320469230572477	whom	From whom do earthly kings collect taxes , from their children or from strangers ? "
46003005b	person.kind	2	3	0.310877328386869	what	What is Paul ? They are servants who helped you to believe . Each one had a role given to them by the Lord :
43009002	NA	2	4	0.306714038147425	who	Jesus’ disciples asked , " Rabbi , who sinned so that he was born blind , this man or his parents ? "
58003018	person.role.recipient	2	3	0.302995381446281	whom	And against whom did he swear that they would never enter his rest , if not against the ones who were disobedient ?
58003017	person.role.recipient	2	1	0.291600356841823	whom	And with whom was God angry for forty years ? Wasn’t it with the ones who sinned , whose bodies fell in the desert ?
46003005a	person.kind	2	3	0.28472012517273	what	After all , what is Apollos ? 
42020033	person.possessor	2	3	0.270472487728769	whose	In the resurrection , whose wife will she be ? All seven were married to her . "
42007042	person.selection.two	2	3	0.258729505794117	which	When they couldn’t pay , the lender forgave the debts of them both . Which of them will love him more ? "
44004007c	person.possessor	2	3	0.253163788016244	what	or in what name did you do this ? "
40027021	person.selection.two	2	3	0.251398292710177	which	The governor said , " Which of the two do you want me to release to you ? " " Barabbas , " they replied .
40021031	person.selection.two	2	3	0.208910725586263	which one	" Which one of these two did his father’s will ? " They said , " The first one . " Jesus said to them , “ I assure you that tax collectors and prostitutes are entering God’s kingdom ahead of you .
40008027	person.kind	2	3	0.0573655770331579	what kind of	The people were amazed and said , " What kind of person is this ? Even the winds and the lake obey him ! "
40021025a	NA	2	1	-0.00235691071155564	where	Where did John get his authority to baptize ? Did he get it from heaven or from humans ? " They argued among themselves , 
44021033b	NA	3	4	0.465041349516084	what	and what he had done .
41006024	thing.patient	3	4	0.461730363588258	what	She left the banquet hall and said to her mother , " What should I ask for ? " " John the Baptist’s head , " Herodias replied .
41010051	NA	3	4	0.459618345537438	what	Jesus asked him , " What do you want me to do for you ? " The blind man said , " Teacher , I want to see . "
40020032	NA	3	4	0.453914894358078	what	Jesus stopped in his tracks and called to them . " What do you want me to do for you ? " he asked .
40020021	thing.patient	3	4	0.446284683823277	what	" What do you want ? " he asked . She responded , " Say that these two sons of mine will sit , one on your right hand and one on your left , in your kingdom . "
43001038a	thing.patient	3	4	0.445681198906299	what	When Jesus turned and saw them following , he asked , " What are you looking for ? " They said , 
41010036	thing.patient	3	4	0.444864250954852	what	" What do you want me to do for you ? " he asked .
40006031b	thing.patient	3	4	0.439459157898003	what	‘ What are we going to drink ? ’ or 
44023019	NA	3	4	0.435289562289913	what	The commander took him by the hand and withdrew to a place where they could speak privately . He asked , " What do you have to report to me ? "
43004027a	thing.patient	3	4	0.428060214251644	what	Just then , Jesus’ disciples arrived and were shocked that he was talking with a woman . But no one asked , " What do you want ? " or 
44017018	NA	3	5	0.427232360207376	what	Certain Epicurean and Stoic philosophers engaged him in discussion too . Some said , " What an amateur ! What’s he trying to say ? " Others remarked , " He seems to be a proclaimer of foreign gods . " ( They said this because he was preaching the good news about Jesus and the resurrection . )
41010017	NA	3	5	0.426126145457887	what	As Jesus continued down the road , a man ran up , knelt before him , and asked , " Good Teacher , what must I do to obtain eternal life ? "
42018018	NA	3	5	0.424407192969944	what	A certain ruler asked Jesus , " Good Teacher , what must I do to obtain eternal life ? "
43018035	NA	3	4	0.415047356977891	what	Pilate responded , " I’m not a Jew , am I ? Your nation and its chief priests handed you over to me . What have you done ? "
43018038	thing.patient	3	4	0.414339450243012	what	" What is truth ? " Pilate asked . After Pilate said this , he returned to the Jewish leaders and said , " I find no grounds for any charge against him .
44022010	NA	3	5	0.413565061535137	what	I asked , ‘ What should I do , Lord ? ’ ‘ Get up , ’ the Lord replied , ‘ and go into Damascus . There you will be told everything you have been appointed to do . ’
40019020	thing.patient	3	4	0.41077640263973	what	The young man replied , " I’ve kept all these . What am I still missing ? "
43016017	NA	3	5	0.410242958291615	what	Some of Jesus’ disciples said to each other , " What does he mean : ‘ Soon you won’t see me , and soon after that you will see me ’ and ‘ Because I’m going to the Father ’ ?
40006031a	thing.patient	3	4	0.401067651494315	what	Therefore , don’t worry and say , ‘ What are we going to eat ? ’ or 
43006028	NA	3	5	0.395765234441378	what	They asked , " What must we do in order to accomplish what God requires ? "
59002016b	NA	3	5	0.394414402786917	what	What good is it if you don’t actually give them what their body needs ?
59002014	NA	3	4	0.38802070483007	what	My brothers and sisters , what good is it if people say they have faith but do nothing to show it ? Claiming to have faith can’t save anyone , can it ?
42010025	NA	3	5	0.385425223558138	what	A legal expert stood up to test Jesus . " Teacher , " he said , " what must I do to gain eternal life ? "
42003010	thing.do	3	5	0.384911096422348	what	The crowds asked him , " What then should we do ? "
44016030	NA	3	5	0.38388297829508	what	He led them outside and asked , " Honorable masters , what must I do to be rescued ? "
42023022b	NA	3	4	0.383554443009003	what	What wrong has he done ? I’ve found no legal basis for the death penalty in his case . Therefore , I will have him whipped , then let him go . "
40019027	thing.patient	3	4	0.382049504218643	what	Then Peter replied , " Look , we’ve left everything and followed you . What will we have ? "
42007024	thing.patient	3	4	0.379577784846663	what	After John’s messengers were gone , Jesus spoke to the crowds about John . " What did you go out into the wilderness to see ? A stalk blowing in the wind ?
41009010	thing.patient	3	4	0.378963006108657	what	So they kept it to themselves , wondering , " What’s this ‘ rising from the dead ’ ? "
43006030b	thing.patient	3	4	0.378036855099308	what	What will you do ?
44010004	thing.patient	3	4	0.376827826740942	what	Startled , he stared at the angel and replied , " What is it , Lord ? " The angel said , " Your prayers and your compassionate acts are like a memorial offering to God .
42020017	NA	3	4	0.374369397511085	what	Staring at them , Jesus said , " Then what is the meaning of this text of scripture : The stone that the builders rejected has become the cornerstone ?
42010026a	NA	3	5	0.371969725553807	what	Jesus replied , " What is written in the Law ? 
41009033	thing.patient	3	4	0.370895802941317	what	They entered Capernaum . When they had come into a house , he asked them , " What were you arguing about during the journey ? "
45006021	NA	3	4	0.369972967808938	what	What consequences did you get from doing things that you are now ashamed of ? The outcome of those things is death .
42003012	thing.do	3	5	0.368940600335259	what	Even tax collectors came to be baptized . They said to him , " Teacher , what should we do ? "
40006031c	thing.patient	3	1	0.368690125568172	what	‘ What are we going to wear ? ’
42003014b	thing.do	3	5	0.364981570739471	what	What should we do ? " He answered , " Don’t cheat or harass anyone , and be satisfied with your pay . "
45009030	thing.say	3	5	0.363377365311093	what	So what are we going to say ? Gentiles who weren’t striving for righteousness achieved righteousness , the righteousness that comes from faith .
41008037	thing.patient	3	4	0.36138721096675	what	What will people give in exchange for their lives ?
42018036	thing.happen	3	4	0.360800212075911	what	When the man heard the crowd passing by , he asked what was happening .
42024019	thing.patient	3	4	0.358912132893088	what	He said to them , " What things ? " They said to him , " The things about Jesus of Nazareth . Because of his powerful deeds and words , he was recognized by God and all the people as a prophet .
45008031a	thing.say	3	5	0.352493642136351	what	So what are we going to say about these things ? 
44002012	thing.patient	3	4	0.35110547949767	what	They were all surprised and bewildered . Some asked each other , " What does this mean ? "
43009026a	NA	3	5	0.34768372150294	what	They questioned him : " What did he do to you ? 
43021022	NA	3	4	0.344110270977979	what	Jesus replied , " If I want him to remain until I come , what difference does that make to you ? You must follow me . "
43012027	thing.say	3	5	0.342416692247815	what	" Now I am deeply troubled . What should I say ? ‘ Father , save me from this time ’ ? No , for this is the reason I have come to this time .
42016002	NA	3	5	0.341727429514469	what	He called the manager in and said to him , ‘ What is this I hear about you ? Give me a report of your administration because you can no longer serve as my manager . ’
40019016	NA	3	5	0.340206733091747	what	A man approached him and said , " Teacher , what good thing must I do to have eternal life ? "
41009016	NA	3	4	0.338948110214027	what	Jesus asked them , " What are you arguing about ? "
43007036	thing.patient	3	4	0.337965760605029	what	What does he mean when he says , ‘ You will look for me , but you won’t find me , and where I am you can’t come ’ ? "
42024017	NA	3	5	0.335154734973164	what	He said to them , " What are you talking about as you walk along ? " They stopped , their faces downcast .
46015032	NA	3	4	0.333486243040153	what	From a human point of view , what good does it do me if I fought wild animals in Ephesus ? If the dead aren’t raised , let’s eat and drink because tomorrow we’ll die .
46014006	NA	3	5	0.331921795970716	how	After all , brothers and sisters , if I come to you speaking in tongues , how will I help you unless I speak to you with a revelation , some knowledge , a prophecy , or a teaching ?
46009018	NA	3	4	0.331658561245271	what	What reward do I get ? That when I preach , I offer the good news free of charge . That’s why I don’t use the rights to which I’m entitled through the gospel .
46011022	thing.say	3	5	0.328172063406561	what	Don’t you have houses to eat and drink in ? Or do you look down on God’s churches and humiliate those who have nothing ? What can I say to you ? Will I praise you ? No , I don’t praise you in this .
41010003	NA	3	5	0.328119895967145	what	Jesus answered , " What did Moses command you ? "
44002037	thing.do	3	5	0.323987687158336	what	When the crowd heard this , they were deeply troubled . They said to Peter and the other apostles , " Brothers , what should we do ? "
41008036	NA	3	4	0.315763822674946	why	Why would people gain the whole world but lose their lives ?
40021040	NA	3	5	0.314861863984852	what	" When the owner of the vineyard comes , what will he do to those tenant farmers ? "
48004030	NA	3	5	0.311257441728694	what	But what does the scripture say ? Throw out the slave woman and her son , because the slave woman’s son won’t share the inheritance with the free woman’s son .
40026015	thing.patient	3	4	0.310112901131096	what	and said , " What will you give me if I turn Jesus over to you ? " They paid him thirty pieces of silver .
43018029	NA	3	4	0.305773786468105	what	So Pilate went out to them and asked , " What charge do you bring against this man ? "
42015026	thing.happen	3	4	0.301138804194998	what	He called one of the servants and asked what was going on .
41001024	NA	3	4	0.298642001428647	what	" What have you to do with us , Jesus of Nazareth ? Have you come to destroy us ? I know who you are . You are the holy one from God . "
41001027	thing.patient	3	5	0.297152269919713	what	Everyone was shaken and questioned among themselves , " What’s this ? A new teaching with authority ! He even commands unclean spirits and they obey him ! "
45006001	thing.say	3	5	0.291264310789052	what	So what are we going to say ? Should we continue sinning so grace will multiply ?
45004001	NA	3	5	0.289817075749822	what	So what are we going to say ? Are we going to find that Abraham is our ancestor on the basis of genealogy ?
41005007	NA	3	4	0.288605768777704	what	shouting , " What have you to do with me , Jesus , Son of the Most High God ? Swear to God that you won’t torture me ! "
43001022b	NA	3	5	0.287987988641443	what	What do you say about yourself ? "
44004016	NA	3	5	0.287452372478534	what	" What should we do with these men ? Everyone living in Jerusalem is aware of the sign performed through them . It’s obvious to everyone and we can’t deny it .
42020013	NA	3	5	0.282177238504266	what	The owner of the vineyard said , ‘ What should I do ? I’ll send my son , whom I love dearly . Perhaps they will respect him . ’
40024003b	NA	3	5	0.281655966196405	what	What will be the sign of your coming and the end of the age ? "
43009017	NA	3	5	0.281423759789726	what	Some of the Pharisees questioned the man who had been born blind again : " What do you have to say about him , since he healed your eyes ? " He replied , " He’s a prophet . "
42016003	NA	3	5	0.28073133279273	what	“ The household manager said to himself , What will I do now that my master is firing me as his manager ? I’m not strong enough to dig and too proud to beg .
43002018b	thing.kind	3	2	0.280606953971224	what	What miraculous sign will you show us ? "
42012017	NA	3	5	0.275467718885014	what	He said to himself , What will I do ? I have no place to store my harvest !
43011047	NA	3	5	0.272438577961795	what	Then the chief priests and Pharisees called together the council and said , " What are we going to do ? This man is doing many miraculous signs !
58002006a	NA	3	4	0.272430889462117	what	Instead , someone declared somewhere , What is humanity that you think about them ?
40027022	NA	3	5	0.270179353232745	what	Pilate said , " Then what should I do with Jesus who is called Christ ? " They all said , " Crucify him ! "
46014015	NA	3	5	0.265246313892586	what	What should I do ? I’ll pray in the Spirit , but I’ll pray with my mind too ; I’ll sing a psalm in the Spirit , but I’ll sing the psalm with my mind too .
42021007b	NA	3	5	0.259953046950502	what	What sign will show that these things are about to happen ? "
43006030a	thing.kind	3	5	0.257654448599257	what	They asked , " What miraculous sign will you do , that we can see and believe you ? 
46004021	NA	3	5	0.247939850565194	which	Which do you want ? Should I come to you with a big stick to punish you , or with love and a gentle spirit ?
45003001a	NA	3	4	0.246980571732617	what	So what’s the advantage of being a Jew ? 
41013004b	NA	3	5	0.238737313129606	what	What sign will show that all these things are about to come to an end ? "
42001066	NA	3	5	0.231469013593321	what	All who heard about this considered it carefully . They said , " What then will this child be ? " Indeed , the Lord’s power was with him .
42006032	thing.kind	3	4	0.228678924679192	why	“ If you love those who love you , why should you be commended ? Even sinners love those who love them .
40005046	thing.kind	3	4	0.222076332416346	what	If you love only those who love you , what reward do you have ? Don’t even the tax collectors do the same ?
41004030a	NA	3	5	0.215985789311263	what	He continued , " What’s a good image for God’s kingdom ? 
43008005	NA	3	5	0.199661958476228	what	In the Law , Moses commanded us to stone women like this . What do you say ? "
42023031	NA	3	5	0.197468666573128	what	If they do these things when the tree is green , what will happen when it is dry ? "
44019003	thing.kind	3	5	0.18886345802348	what	Then he said , " What baptism did you receive , then ? " They answered , " John’s baptism . "
41004030b	thing.kind	3	5	0.184792549394965	what	What parable can I use to explain it ?
42004036	NA	3	5	0.179017247554699	what kind of	They were all shaken and said to each other , " What kind of word is this , that he can command unclean spirits with authority and power , and they leave ? "
40022042a	thing.think	3	5	0.17556813645993	what	" What do you think about the Christ ? 
41002009	thing.selection.two	3	2	0.171395446842524	which	Which is easier — to say to a paralyzed person , ‘ Your sins are forgiven , ’ or to say , ‘ Get up , take up your bed , and walk ’ ?
40011016	NA	3	2	0.167364953789219	what	" To what will I compare this generation ? It is like a child sitting in the marketplaces calling out to others ,
40023019	thing.selection.two	3	4	0.160692179426304	which	You blind people ! Which is greater , the gift or the altar that makes the gift holy ?
41011028a	thing.kind	3	2	0.158958060844959	what kind of	They asked , " What kind of authority do you have for doing these things ? 
40026066	thing.think	3	5	0.157000453529559	what	What do you think ? " And they answered , " He deserves to die ! "
40023017	thing.selection.two	3	4	0.156528145669773	which	You foolish and blind people ! Which is greater , the gold or the temple that makes the gold holy ?
40021028	thing.think	3	5	0.153066737560373	what	“ What do you think ? A man had two sons . Now he came to the first and said , ‘ Son , go and work in the vineyard today . ’
42013018a	NA	3	5	0.145087319940392	what	Jesus asked , " What is God’s kingdom like ? 
43021021	NA	3	5	0.142693103129399	~	When Peter saw this disciple , he said to Jesus , " Lord , what about him ? "
44021022	NA	3	5	0.120510430169914	~	What about this ? Without a doubt , they will hear that you have arrived .
43011056	thing.think	3	5	0.117947902072016	what	They were looking for Jesus . As they spoke to each other in the temple , they said , " What do you think ? He won’t come to the festival , will he ? "
